*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS,U_ACTIVO
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,101,29/01/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,67,05/02/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,76,12/02/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,124,19/02/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,123,26/02/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,104,04/03/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,108,11/03/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,112,18/03/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,106,25/03/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,105,01/04/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,142,08/04/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,117,15/04/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,135,22/04/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,120,29/04/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,154,06/05/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,159,13/05/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,ORDERS,7D,AGGREGATED WEEKLY,154,20/05/2024,1,C,Coca-Cola Light,NR,Durango,Durango,Norte,L,A
