*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,4,22/07/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,4,29/07/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,5,05/08/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,6,12/08/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_AUTOSERVICIOS,BMX_3223,ORDERS,7D,AGGREGATED WEEKLY,5,19/08/2024,1,C,Fuze Tea,NR,Santa Rita,Lagunera,Norte,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,19/06/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,10,06/11/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1.002,04/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,8,11/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,18/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,25/12/2023,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,08/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,22/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,29/01/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,5,11/03/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,18/03/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,15/04/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,3,22/04/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,1,06/05/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,2,03/06/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,2,15/07/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,2,29/07/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3001,ORDERS,7D,AGGREGATED WEEKLY,4,12/08/2024,1,C,Fuze Tea,NR,Guadalupe,Monterrey,Noreste,L
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,1,04/01/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,4,11/01/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,1,18/01/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,25/01/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,1,01/02/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,6,08/02/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,4,15/02/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,7,22/02/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,5,01/03/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,5,08/03/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,7,22/03/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,5,29/03/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,5,05/04/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,5,12/04/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,4,19/04/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
BMX_1018,BMX_HOGAR,BMX_3005,ORDERS,7D,AGGREGATED WEEKLY,2,03/05/2021,1,C,Fuze Tea,NR,Lincoln,Monterrey,Noreste,D
