Producto,Desc_Producto,Familia_Producto,Categoria,Segmentacion_Producto,Ubicacion,Desc_Ubicacion,Origen_Abasto,OverrideClasificacionABCD,Override_Min_Politica_Inventarios,Override_Max_Politica_Inventarios,Medida_Override,Tipo_Override,MargenUnitario,LeadTime_Abasto_Dias,Frecuencia_Revision_Dias,Fill_Rate,MOQ,Tamano_Lote,Unidades_Pallet,Costo_Unidad,Tolerancia_Vida_Util_Dias,Vida_Util_Dias,Unidad_Medida_UOM,Presentacion,Desc_Empaque_UOM_Base,Unidades_Empaque,Cantidad_Demanda_Indirecta,Nivel_OA
1570,ZAPATO CDA D003 NEGRO 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
2416,ZAPATO CDA D003 NEGRO 25.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
2417,ZAPATO CDA D003 NEGRO 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
2100,ZAPATO CDA D003 ORO ROSA 22,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2101,ZAPATO CDA D003 ORO ROSA 22.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2102,ZAPATO CDA D003 ORO ROSA 23,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,378.2,0,0,,PAR,PAR,,,
2103,ZAPATO CDA D003 ORO ROSA 23.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,378.2,0,0,,PAR,PAR,,,
2104,ZAPATO CDA D003 ORO ROSA 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,378.2,0,0,,PAR,PAR,,,
2105,ZAPATO CDA D003 ORO ROSA 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,378.2,0,0,,PAR,PAR,,,
2106,ZAPATO CDA D003 ORO ROSA 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,378.2,0,0,,PAR,PAR,,,
2107,ZAPATO CDA D003 ORO ROSA 25.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,378.2,0,0,,PAR,PAR,,,
2108,ZAPATO CDA D003 ORO ROSA 26,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,378.2,0,0,,PAR,PAR,,,
2109,ZAPATO CDA D003 ORO ROSA 26.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2110,ZAPATO CDA D003 ORO ROSA 27,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1821,ZAPATO CDA D006 NEGRO 23,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,408.92,0,0,,PAR,PAR,,,
1822,ZAPATO CDA D006 NEGRO 23.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,408.92,0,0,,PAR,PAR,,,
1823,ZAPATO CDA D006 NEGRO 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,408.92,0,0,,PAR,PAR,,,
1824,ZAPATO CDA D006 NEGRO 24.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,408.92,0,0,,PAR,PAR,,,
1825,ZAPATO CDA D006 NEGRO 25,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,408.92,0,0,,PAR,PAR,,,
1826,ZAPATO CDA D006 NEGRO 25.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,408.92,0,0,,PAR,PAR,,,
1827,ZAPATO CDA D006 NEGRO 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,408.92,0,0,,PAR,PAR,,,
1828,ZAPATO CDA D006 NEGRO 26.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
1829,ZAPATO CDA D006 NEGRO 27,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,359.5,0,0,,PAR,PAR,,,
2052,ZAPATO CDA D007 VINO 22,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2053,ZAPATO CDA D007 VINO 22.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2054,ZAPATO CDA D007 VINO 23,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,372.5,0,0,,PAR,PAR,,,
2055,ZAPATO CDA D007 VINO 23.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,372.5,0,0,,PAR,PAR,,,
2056,ZAPATO CDA D007 VINO 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,372.5,0,0,,PAR,PAR,,,
2057,ZAPATO CDA D007 VINO 24.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,372.5,0,0,,PAR,PAR,,,
2058,ZAPATO CDA D007 VINO 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,372.5,0,0,,PAR,PAR,,,
2059,ZAPATO CDA D007 VINO 25.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,372.5,0,0,,PAR,PAR,,,
2060,ZAPATO CDA D007 VINO 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,372.5,0,0,,PAR,PAR,,,
2061,ZAPATO CDA D007 VINO 26.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2062,ZAPATO CDA D007 VINO 27,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2088,ZAPATO CDA D013 ARENA 22,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2089,ZAPATO CDA D013 ARENA 22.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2090,ZAPATO CDA D013 ARENA 23,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2091,ZAPATO CDA D013 ARENA 23.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2092,ZAPATO CDA D013 ARENA 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2093,ZAPATO CDA D013 ARENA 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2094,ZAPATO CDA D013 ARENA 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2095,ZAPATO CDA D013 ARENA 25.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2096,ZAPATO CDA D013 ARENA 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2097,ZAPATO CDA D013 ARENA 26.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2098,ZAPATO CDA D013 ARENA 27,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,375.5,0,0,,PAR,PAR,,,
2418,ZAPATO CDA D013 NEGRO 23,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
2419,ZAPATO CDA D013 NEGRO 23.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
2420,ZAPATO CDA D013 NEGRO 24,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
2421,ZAPATO CDA D013 NEGRO 24.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,379.5,0,0,,PAR,PAR,,,
